"filename", "language", "C#", "comment", "blank", "total"
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Attack.cs", "C#", 31, 0, 3, 34
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Cell.cs", "C#", 22, 1, 7, 30
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\ArmorData.cs", "C#", 11, 0, 1, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\AttackData.cs", "C#", 11, 0, 1, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\CardData.cs", "C#", 13, 0, 1, 14
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Enums.cs", "C#", 26, 0, 4, 30
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Framework\Commands.cs", "C#", 13, 6, 2, 21
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Framework\Events.cs", "C#", 41, 3, 3, 47
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Level.cs", "C#", 14, 0, 2, 16
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Manager\GameManager.cs", "C#", 35, 0, 7, 42
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Manager\GameStarter.cs", "C#", 19, 2, 2, 23
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Manager\GameTestManager.cs", "C#", 38, 0, 11, 49
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Manager\Global.cs", "C#", 24, 0, 3, 27
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Manager\SceneTransitionManager.Designer.cs", "C#", 7, 1, 2, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Manager\SceneTransitionManager.cs", "C#", 81, 3, 12, 96
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Models\DaveModel.cs", "C#", 20, 0, 3, 23
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Models\LevelModel.cs", "C#", 75, 13, 14, 102
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\PVZRouge.cs", "C#", 17, 13, 8, 38
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\System\EntityCreateSystem.cs", "C#", 129, 20, 32, 181
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\System\HandSystem.cs", "C#", 159, 23, 15, 197
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\System\InputSystem.cs", "C#", 152, 8, 15, 175
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\System\LevelSystem.cs", "C#", 68, 10, 8, 86
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Card.Designer.cs", "C#", 11, 1, 6, 18
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Card.cs", "C#", 137, 15, 17, 169
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Dave.Designer.cs", "C#", 7, 1, 2, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Dave.cs", "C#", 77, 11, 6, 94
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Entity.cs", "C#", 67, 5, 18, 90
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Interfaces.cs", "C#", 7, 0, 0, 7
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\Base\PeashooterBase.cs", "C#", 48, 9, 6, 63
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\Base\Plant.cs", "C#", 76, 22, 14, 112
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\CherryBoom.cs", "C#", 31, 1, 5, 37
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\Flowerpot.cs", "C#", 19, 0, 1, 20
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\PeaShooter.Designer.cs", "C#", 8, 1, 3, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\PeaShooter.cs", "C#", 13, 0, 2, 15
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\PotatoMine.cs", "C#", 40, 1, 4, 45
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\SnowPea.Designer.cs", "C#", 8, 1, 3, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\SnowPea.cs", "C#", 13, 0, 2, 15
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\Sunflower.Designer.cs", "C#", 7, 1, 2, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\Sunflower.cs", "C#", 26, 5, 6, 37
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\Wallnut.Designer.cs", "C#", 7, 1, 2, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Plants\Wallnut.cs", "C#", 13, 1, 2, 16
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Projectiles\IcePea.cs", "C#", 33, 1, 8, 42
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Projectiles\Interfaces.cs", "C#", 7, 0, 0, 7
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Projectiles\Pea.cs", "C#", 33, 1, 8, 42
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Projectiles\Projectile.cs", "C#", 18, 2, 5, 25
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\Armor\Base\Armor.cs", "C#", 107, 13, 25, 145
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\Armor\Base\HealthArmor.cs", "C#", 8, 0, 1, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\Armor\Base\ShieldArmor.cs", "C#", 9, 0, 1, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\Armor\Bucket.Designer.cs", "C#", 7, 1, 2, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\Armor\Bucket.cs", "C#", 6, 0, 1, 7
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\Armor\Conehead.cs", "C#", 6, 0, 1, 7
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\Armor\ScreenDoor.cs", "C#", 9, 0, 1, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\BucketZombie.Designer.cs", "C#", 8, 1, 3, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\BucketZombie.cs", "C#", 30, 0, 4, 34
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\ConeheadZombie.Designer.cs", "C#", 8, 1, 3, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\ConeheadZombie.cs", "C#", 30, 0, 4, 34
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\NormalZombie.Designer.cs", "C#", 7, 1, 2, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\NormalZombie.cs", "C#", 8, 0, 2, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\ScreenDoorZombie.Designer.cs", "C#", 7, 1, 2, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\ScreenDoorZombie.cs", "C#", 8, 0, 3, 11
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Entities\Zombies\Zombie.cs", "C#", 170, 27, 25, 222
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Sun.Designer.cs", "C#", 8, 1, 2, 11
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\ViewControllers\Sun.cs", "C#", 33, 0, 4, 37
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UIGamePanel.Designer.cs", "C#", 53, 1, 8, 62
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UIGamePanel.cs", "C#", 34, 2, 10, 46
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UIGameStartPanel.Designer.cs", "C#", 38, 1, 8, 47
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UIGameStartPanel.cs", "C#", 37, 1, 7, 45
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UISceneTransitionPanel.Designer.cs", "C#", 38, 1, 8, 47
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UISceneTransitionPanel.cs", "C#", 28, 1, 6, 35
"Total", "-", 2409, 236, 411, 3056